youtube_id,content_type,title,url,playlist_raw,ip_series,collection_tags,original_content_id,is_anchor,parent_candidate,link_status,review_status
"b2AR3WHOlGI","long_form","How 2 Engineers Are Dominating the Cannabis Industry l Nabis Jun and Vince","https://www.youtube.com/watch?v=b2AR3WHOlGI","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"HDsFyHQtLHI","long_form","My 2 Startups didn't work, But here's what I've become | Meta Mick Johnson (2/2)","https://www.youtube.com/watch?v=HDsFyHQtLHI","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"rB7haeRWib4","long_form","4 Lessons that resulted in a 10x growth for 100+ PMs | Meta Mick Johnson (1/2)","https://www.youtube.com/watch?v=rB7haeRWib4","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"4D94pqCOKyc","long_form","$270 Million Coffee Empire in Indonesia: The Journey Unveiled - Kopi Kenangan | Edward Tritanata","https://www.youtube.com/watch?v=4D94pqCOKyc","",,"","4D94pqCOKyc","TRUE",,"Linked","Approved"
"F6kX9yJ89Ac","long_form","The Relationship Between Technology and Business Success | Thales Teixeira","https://www.youtube.com/watch?v=F6kX9yJ89Ac","",,"",,"FALSE",,"Unassigned","Not reviewed"
"KKH5ncDaHyw","long_form","You MUST Watch This Before Tackling Problems | Pinhome Dara & Ahmed #eo #Indonesia #property","https://www.youtube.com/watch?v=KKH5ncDaHyw","",,"","KKH5ncDaHyw","TRUE",,"Linked","Approved"
"RSBjP59mLUc","long_form","What I learned about Failure after 26 Years of Research at Harvard |Tom Eisenmann","https://www.youtube.com/watch?v=RSBjP59mLUc","",,"",,"FALSE",,"Unassigned","Not reviewed"
"gEAfvdwET3g","long_form","How we Gained 3 Million Users in Just 3 Months! | Gamma CEO Grant Lee & Jon Noronha","https://www.youtube.com/watch?v=gEAfvdwET3g","",,"","gEAfvdwET3g","TRUE",,"Linked","Approved"
"6gbeuzbsmIQ","long_form","Life Lessons that Sustained Me | Sherie Ng","https://www.youtube.com/watch?v=6gbeuzbsmIQ","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"bdWokDQda_Y","long_form","A motel TV-watching college student builds a $1.4B company at 30 | FiscalNote Director's Cut","https://www.youtube.com/watch?v=bdWokDQda_Y","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"PZ-NZxubqjg","long_form","Essential Business Strategy : Forecasting Future Trends | Vinnie Lauria","https://www.youtube.com/watch?v=PZ-NZxubqjg","Founder Focused",,"Founder Focused","PZ-NZxubqjg","TRUE",,"Linked","Approved"
"T7tuUz1SRuE","long_form","An honest story about the hardships and team | Bobobox","https://www.youtube.com/watch?v=T7tuUz1SRuE","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
"aOGMymXPgrk","long_form","Why 90% of Startup CEOs Are Failing | John Kim Sendbird","https://www.youtube.com/watch?v=aOGMymXPgrk","Founder Focused",,"Founder Focused",,"FALSE",,"Unassigned","Not reviewed"
